uuid,rank,parent_uuid
f7ed0bc5-96d2-beff-aa83-d60de45869b9,1104839,e22af3b9-b722-a2e9-7c67-4fad73c06748
467b150e-87ce-fb2c-e663-b3da7db5c197,349177,5bd7cb94-9caf-33b3-1547-d20684d38b3d
5b60b15d-0d1a-e547-c3a8-7a07ec2e3bc3,112744,ecc088ad-9166-7a72-e77b-1e702f278763
977f6f5d-815e-4af3-25b7-96854c608027,165357,1c749f29-de15-bc2a-6cef-73643a25ece0
7870d871-9761-66fe-8389-d54c29b58d12,485741,561e0e81-e388-ca4e-5f14-7671e93172fb
8742e7d3-0d02-27ca-1fc2-f24062a41a65,211208,6acfa7da-1dbd-936e-d985-cf07a1b27711
1ed103fc-059a-cff8-103b-07b48685d8dd,253524,93bf13f8-c877-d724-11b9-e4596502a38a
377fee3e-dd0a-7241-e045-129542025496,95853,ca44870b-f39e-3d47-6636-c188e704e8ef
def6a1cc-0646-e98a-94a4-2c78ba1db365,578129,471e597d-7be4-0cb4-3b08-12074d4606b6
ed5d871e-1c13-4333-2703-f04118ee2d06,123347,ecc088ad-9166-7a72-e77b-1e702f278763
36477683-cfd8-b5d1-70b0-38f68f0eb8d4,133793,683189f2-6420-7502-5c93-9de16cdbac31
fb98f73e-eb5b-b03b-3f20-98d4a0c287a3,113389,ef2d56f4-c8e4-dc59-d59d-ef5bdc2ca21f
2eba3b47-2b4f-70ec-7a11-7e7aeb61be4b,109052,ef2d56f4-c8e4-dc59-d59d-ef5bdc2ca21f
0bfcbdd2-b96c-c763-9b5c-09827f8ba522,1056470,0ef0f860-a88e-2c6e-41ab-025f8efe94d6
79cfa131-342d-62f5-01df-fbb168ed63c1,14939,1bd1698c-cd0f-37bb-581b-1a4b6dd1c772
e40e3c4a-5da3-b848-6053-d8812ea08ceb,131409,dc7e0a9d-2dfc-3398-7790-50121b13e851
b1c4a3c2-7de6-26a1-7672-2601194cd34a,107687,00edab11-0f63-ba20-662d-88365454d746
5e4fc9d7-f78f-e688-47ef-d67868560789,195212,81b30038-ce8e-4c23-b24e-171a560c9c16
f8724b00-27d5-7b23-0fbb-9df1248ac021,706106,010521a2-72bf-583a-2f6b-623068653c0e
90e59835-7b46-8587-dbb0-0141dc8fb19d,174051,7501994d-dc2c-f877-3482-e0fb41e21807
707537ef-0aea-7b33-772d-9c66c239d2e1,81159,ef2d56f4-c8e4-dc59-d59d-ef5bdc2ca21f
ad9db9e9-9c2e-86a8-2b5c-deea1011fdd5,23314,e383af22-89a1-07e5-a256-91de31854750
